isin,instrumentsubtype,country,businessline,signoffgroup,portfolionumber,counterpartycode,asset_or_liability,amount
US0000000018,Govt Bond,LU,FX & Commodities,Product Control EQ,PTF_328,CP_3286,Asset,33836590.87
FR0000000028,Corp Bond,HK,Structured Products,Product Control FI,PTF_130,CP_2535,Asset,11636881.37
FR0000000038,Govt Bond,SG,Equities,Operations Signoff,PTF_529,CP_4611,Liability,29465337.87
US0000000048,Equity,LU,Structured Products,Treasury Control,PTF_384,CP_3547,Asset,47860867.54
DE0000000058,Corp Bond,GB,Structured Products,Product Control FI,PTF_467,CP_6635,Liability,40357378.02
JP0000000068,Commercial Paper,GB,Structured Products,Product Control FI,PTF_665,CP_5803,Liability,28869720.5
US0000000078,Govt Bond,NL,Equities,Treasury Control,PTF_181,CP_4814,Asset,19009410.62
JP0000000088,CDS,DE,FX & Commodities,Treasury Control,PTF_314,CP_5374,Asset,30458504.63
GB0000000098,Commercial Paper,LU,Equities,Product Control EQ,PTF_573,CP_7216,Liability,49476219.92
FR0000000108,FX Forward,NL,FX & Commodities,Product Control FI,PTF_334,CP_1525,Liability,20061233.53
US0000000118,FX Forward,ES,Treasury,Treasury Control,PTF_317,CP_9179,Liability,44234734.28
JP0000000128,Equity,JP,Equities,Product Control EQ,PTF_862,CP_9830,Liability,37351955.51
JP0000000138,Future,CA,FX & Commodities,Product Control EQ,PTF_241,CP_9348,Liability,4550016.06
US0000000148,Corp Bond,DE,Wealth Management,Product Control EQ,PTF_911,CP_7916,Asset,19241441.75
FR0000000158,Repo,SG,FX & Commodities,Operations Signoff,PTF_981,CP_1188,Asset,34087109.9
FR0000000168,IRS Swap,IE,Wealth Management,Treasury Control,PTF_214,CP_5808,Liability,7912096.93
US0000000178,IRS Swap,SG,Equities,Operations Signoff,PTF_208,CP_5889,Asset,7646199.23
GB0000000188,Commercial Paper,IE,Treasury,Product Control FI,PTF_713,CP_6310,Liability,978739.74
DE0000000198,IRS Swap,FR,Fixed Income,Product Control EQ,PTF_999,CP_2290,Asset,36596720.2
US0000000208,Commercial Paper,IE,Equities,Product Control EQ,PTF_775,CP_8787,Asset,13256506.16
FR0000000218,Option,FR,Treasury,Product Control EQ,PTF_830,CP_6107,Liability,49757492.09
DE0000000228,Repo,ES,Treasury,Risk Management,PTF_223,CP_5061,Asset,3205974.69
US0000000238,Future,SG,Equities,Operations Signoff,PTF_325,CP_1117,Asset,35393508.12
US0000000248,FX Forward,GB,Fixed Income,Treasury Control,PTF_172,CP_9423,Asset,13927470.81
JP0000000258,FX Forward,SG,Equities,Operations Signoff,PTF_690,CP_8744,Asset,39232048.12
JP0000000268,FX Forward,GB,Fixed Income,Risk Management,PTF_462,CP_7939,Liability,23353898.28
US0000000278,Corp Bond,US,Structured Products,Treasury Control,PTF_919,CP_2790,Asset,9583545.66
FR0000000288,Repo,DE,Structured Products,Product Control EQ,PTF_385,CP_8579,Asset,43724925.27
US0000000298,Repo,IE,Treasury,Product Control FI,PTF_151,CP_9856,Asset,48449967.88
GB0000000308,Equity,CA,Structured Products,Risk Management,PTF_318,CP_7570,Asset,8236032.88
US0000000318,Option,JP,Structured Products,Treasury Control,PTF_533,CP_8973,Asset,9498943.87
GB0000000328,Govt Bond,HK,Wealth Management,Operations Signoff,PTF_162,CP_6138,Asset,2511866.15
JP0000000338,Commercial Paper,ES,Treasury,Product Control EQ,PTF_158,CP_9320,Asset,42567870.55
US0000000348,Future,GB,Wealth Management,Product Control EQ,PTF_513,CP_2964,Asset,28948058.28
US0000000358,Future,GB,Structured Products,Operations Signoff,PTF_678,CP_9565,Liability,46735639.36
GB0000000368,CDS,FR,FX & Commodities,Risk Management,PTF_234,CP_5915,Liability,15812278.93
US0000000378,Govt Bond,AU,Treasury,Operations Signoff,PTF_202,CP_2200,Asset,25296705.28
GB0000000388,CDS,ES,Fixed Income,Product Control EQ,PTF_478,CP_5669,Asset,21912037.73
FR0000000398,IRS Swap,HK,Wealth Management,Operations Signoff,PTF_108,CP_5905,Asset,46946805.55
GB0000000408,IRS Swap,GB,Fixed Income,Operations Signoff,PTF_259,CP_5462,Liability,30243467.2
DE0000000418,FX Forward,NL,Wealth Management,Treasury Control,PTF_617,CP_9004,Liability,45267297.87
US0000000428,Corp Bond,NL,Structured Products,Treasury Control,PTF_145,CP_1058,Liability,38557105.55
DE0000000438,Equity,LU,Structured Products,Operations Signoff,PTF_822,CP_8007,Asset,5598134.66
GB0000000448,Commercial Paper,US,FX & Commodities,Operations Signoff,PTF_665,CP_3426,Liability,6376638.74
DE0000000458,CDS,ES,Fixed Income,Treasury Control,PTF_315,CP_5088,Asset,17687163.34
FR0000000468,Option,HK,Wealth Management,Product Control EQ,PTF_342,CP_3662,Asset,44071403.15
US0000000478,Equity,LU,FX & Commodities,Risk Management,PTF_921,CP_5065,Liability,7964096.16
US0000000488,Option,IT,Fixed Income,Risk Management,PTF_327,CP_4269,Liability,17486172.93
GB0000000498,FX Forward,US,Wealth Management,Product Control EQ,PTF_508,CP_6378,Liability,43218325.34
DE0000000508,CDS,NL,Treasury,Risk Management,PTF_795,CP_9785,Liability,46962160.83
US0000000518,IRS Swap,DE,Treasury,Treasury Control,PTF_139,CP_2776,Liability,17287627.15
DE0000000528,Option,HK,Treasury,Product Control FI,PTF_494,CP_4114,Liability,2224104.75
JP0000000538,Govt Bond,SG,Treasury,Product Control EQ,PTF_472,CP_8066,Asset,47443979.93
DE0000000548,Future,CH,Wealth Management,Product Control FI,PTF_837,CP_5920,Liability,33346310.74
DE0000000558,Option,LU,FX & Commodities,Operations Signoff,PTF_230,CP_4143,Liability,33248147.06
JP0000000568,Equity,HK,Treasury,Treasury Control,PTF_515,CP_9977,Asset,15197228.09
GB0000000578,Option,IE,Treasury,Operations Signoff,PTF_770,CP_6279,Liability,22092091.91
GB0000000588,Commercial Paper,AU,Wealth Management,Product Control EQ,PTF_774,CP_2389,Liability,25775023.24
FR0000000598,CDS,GB,Equities,Treasury Control,PTF_330,CP_4262,Asset,1226147.26
GB0000000608,Repo,HK,Fixed Income,Risk Management,PTF_524,CP_4185,Liability,24721386.56
GB0000000618,Equity,NL,Wealth Management,Product Control FI,PTF_868,CP_2746,Liability,10945962.63
FR0000000628,Repo,US,Treasury,Product Control EQ,PTF_968,CP_2988,Liability,6671288.58
JP0000000638,Commercial Paper,SG,Treasury,Treasury Control,PTF_873,CP_8251,Liability,41529305.64
FR0000000648,Repo,ES,Equities,Risk Management,PTF_560,CP_5246,Asset,41993945.08
DE0000000658,Commercial Paper,AU,Wealth Management,Product Control EQ,PTF_381,CP_8206,Asset,35678675.41
GB0000000668,IRS Swap,CH,FX & Commodities,Operations Signoff,PTF_182,CP_3267,Asset,11566917.68
GB0000000678,FX Forward,GB,Structured Products,Risk Management,PTF_438,CP_9890,Liability,20791632.83
GB0000000688,Option,CA,Treasury,Product Control FI,PTF_977,CP_7232,Liability,299774.7
DE0000000698,IRS Swap,IE,Structured Products,Risk Management,PTF_651,CP_9947,Asset,24414032.73
DE0000000708,Option,AU,Fixed Income,Risk Management,PTF_444,CP_7624,Asset,42026080.62
GB0000000718,Future,SG,Fixed Income,Risk Management,PTF_706,CP_1444,Asset,32139268.65
GB0000000728,Repo,DE,Fixed Income,Treasury Control,PTF_488,CP_6363,Asset,22737692.75
DE0000000738,Option,JP,Structured Products,Treasury Control,PTF_954,CP_2341,Liability,974067.44
FR0000000748,Govt Bond,CH,Equities,Product Control FI,PTF_899,CP_1659,Asset,47480838.58
GB0000000758,Govt Bond,HK,Equities,Product Control EQ,PTF_229,CP_8758,Asset,28200659.25
GB0000000768,Repo,LU,FX & Commodities,Treasury Control,PTF_271,CP_2876,Asset,48236215.05
US0000000778,Future,US,FX & Commodities,Operations Signoff,PTF_793,CP_7149,Liability,47073822.57
GB0000000788,Corp Bond,HK,Wealth Management,Product Control EQ,PTF_204,CP_5941,Asset,39812379.69
FR0000000798,Govt Bond,CH,Treasury,Risk Management,PTF_777,CP_7071,Asset,25300509.68
DE0000000808,Govt Bond,IT,Structured Products,Risk Management,PTF_208,CP_8102,Liability,31781077.38
JP0000000818,Equity,CA,Equities,Operations Signoff,PTF_766,CP_5425,Liability,23246364.21
FR0000000828,IRS Swap,CH,Equities,Product Control FI,PTF_385,CP_8385,Asset,37525061.71
FR0000000838,Future,NL,Structured Products,Treasury Control,PTF_129,CP_9098,Liability,9096083.66
GB0000000848,CDS,IE,FX & Commodities,Treasury Control,PTF_386,CP_5526,Asset,25833779.45
GB0000000858,Corp Bond,FR,Wealth Management,Risk Management,PTF_600,CP_4937,Liability,32296915.47
JP0000000868,Repo,IE,Fixed Income,Product Control FI,PTF_401,CP_4630,Liability,34590898.83
DE0000000878,Future,CH,Structured Products,Operations Signoff,PTF_643,CP_6632,Liability,49831590.04
FR0000000888,CDS,CH,Wealth Management,Risk Management,PTF_377,CP_6023,Liability,11530749.37
GB0000000898,CDS,GB,Wealth Management,Operations Signoff,PTF_880,CP_4033,Asset,10823150.07
JP0000000908,IRS Swap,LU,Treasury,Operations Signoff,PTF_711,CP_5636,Asset,41632255.02
DE0000000918,FX Forward,CH,Equities,Treasury Control,PTF_114,CP_9751,Asset,13719194.78
US0000000928,Commercial Paper,JP,Wealth Management,Product Control EQ,PTF_753,CP_9042,Asset,43636623.15
FR0000000938,IRS Swap,AU,Structured Products,Risk Management,PTF_448,CP_4020,Asset,12627657.13
JP0000000948,Corp Bond,IT,Fixed Income,Risk Management,PTF_603,CP_2213,Asset,7590591.71
